state,expend,ratio,total
Alabama,4.405,17.2,1029
Alaska,8.963,17.6,934
Arizona,4.778,19.3,944
Arkansas,4.459,17.1,1005
California,4.992,24,902
Colorado,5.443,18.4,980
Connecticut,8.817,14.4,908
Delaware,7.03,16.6,897
Florida,5.718,19.1,889
Georgia,5.193,16.3,854
Hawaii,6.078,17.9,889
Idaho,4.21,19.1,979
Illinois,6.136,17.3,1048
Indiana,5.826,17.5,882
Iowa,5.483,15.8,1099
Kansas,5.817,15.1,1060
Kentucky,5.217,17,999
Louisiana,4.761,16.8,1021
Maine,6.428,13.8,896
Maryland,7.245,17,909
Massachusetts,7.287,14.8,907
Michigan,6.994,20.1,1033
Minnesota,6,17.5,1085
Mississippi,4.08,17.5,1036
Missouri,5.383,15.5,1045
Montana,5.692,16.3,1009
Nebraska,5.935,14.5,1050
Nevada,5.16,18.7,917
New Hampshire,5.859,15.6,935
New Jersey,9.774,13.8,898
New Mexico,4.586,17.2,1015
New York,9.623,15.2,892
North Carolina,5.077,16.2,865
North Dakota,4.775,15.3,1107
Ohio,6.162,16.6,975
Oklahoma,4.845,15.5,1027
Oregon,6.436,19.9,947
Pennsylvania,7.109,17.1,880
Rhode Island,7.469,14.7,888
South Carolina,4.797,16.4,844
South Dakota,4.775,14.4,1068
Tennessee,4.388,18.6,1040
Texas,5.222,15.7,893
Utah,3.656,24.3,1076
Vermont,6.75,13.8,901
Virginia,5.327,14.6,896
Washington,5.906,20.2,937
West Virginia,6.107,14.8,932
Wisconsin,6.93,15.9,1073
Wyoming,6.16,14.9,1001